Image_name,UT_id,date_only(YYYY-MM-DD)
UT76-11D_08_16_11.JPG,UT76-11D,2011-08-16
UT76-11D_08_17_11.JPG,UT76-11D,2011-08-17
UT76-11D_08_18_11.JPG,UT76-11D,2011-08-18
UT76-11D_08_19_11.JPG,UT76-11D,2011-08-19
UT76-11D_08_20_11.JPG,UT76-11D,2011-08-20
UT76-11D_08_21_11.JPG,UT76-11D,2011-08-21
UT76-11D_08_22_11.JPG,UT76-11D,2011-08-22
UT76-11D_08_23_11.JPG,UT76-11D,2011-08-23
UT76-11D_08_24_11.JPG,UT76-11D,2011-08-24
UT76-11D_08_25_11.JPG,UT76-11D,2011-08-25
UT76-11D_08_26_11.JPG,UT76-11D,2011-08-26
UT76-11D_08_27_11.JPG,UT76-11D,2011-08-27
UT76-11D_08_29_11.JPG,UT76-11D,2011-08-29
UT76-11D_08_30_11.JPG,UT76-11D,2011-08-30
UT76-11D_08_31_11.JPG,UT76-11D,2011-08-31
UT76-11D_09_01_11.JPG,UT76-11D,2011-09-01
UT76-11D_09_03_11.JPG,UT76-11D,2011-09-03
UT76-11D_09_07_11.JPG,UT76-11D,2011-09-07
UT76-11D_09_08_11.JPG,UT76-11D,2011-09-08
UT76-11D_09_09_11.JPG,UT76-11D,2011-09-09
UT76-11D_09_10_11.JPG,UT76-11D,2011-09-10
UT76-11D_09_11_11.JPG,UT76-11D,2011-09-11
UT76-11D_09_12_11.JPG,UT76-11D,2011-09-12
UT76-11D_09_13_11.JPG,UT76-11D,2011-09-13
UT76-11D_09_14_11.JPG,UT76-11D,2011-09-14
UT76-11D_09_15_11.JPG,UT76-11D,2011-09-15
UT76-11D_09_16_11.JPG,UT76-11D,2011-09-16
UT76-11D_09_17_11.JPG,UT76-11D,2011-09-17
UT76-11D_09_20_11.JPG,UT76-11D,2011-09-20
UT76-11D_09_27_11.JPG,UT76-11D,2011-09-27
UT76-11D_09_29_11.JPG,UT76-11D,2011-09-29
UT76-11D_10_02_11.JPG,UT76-11D,2011-10-02
UT76-11D_10_05_11.JPG,UT76-11D,2011-10-05
UT76-11D_10_24_11.JPG,UT76-11D,2011-10-24
UT76-11D_12_11_11.JPG,UT76-11D,2011-12-11
UT76-12D_10_24_12.JPG,UT76-12D,2012-10-24
UT76-12D_10_25_12.JPG,UT76-12D,2012-10-25
UT76-12D_10_26_12.JPG,UT76-12D,2012-10-26
UT76-12D_10_27_12.JPG,UT76-12D,2012-10-27
UT76-12D_10_28_12.JPG,UT76-12D,2012-10-28
UT76-12D_10_29_12.JPG,UT76-12D,2012-10-29
UT76-12D_10_30_12.JPG,UT76-12D,2012-10-30
UT76-12D_10_31_12.JPG,UT76-12D,2012-10-31
UT76-12D_11_01_12.JPG,UT76-12D,2012-11-01
UT76-12D_11_02_12.JPG,UT76-12D,2012-11-02
UT76-12D_11_03_12.JPG,UT76-12D,2012-11-03
UT76-12D_11_04_12.JPG,UT76-12D,2012-11-04
UT76-12D_11_05_12.JPG,UT76-12D,2012-11-05
UT76-12D_11_06_12.JPG,UT76-12D,2012-11-06
UT76-12D_11_07_12.JPG,UT76-12D,2012-11-07
UT76-12D_11_08_12.JPG,UT76-12D,2012-11-08
UT76-12D_11_09_12.JPG,UT76-12D,2012-11-09
UT76-12D_11_10_12.JPG,UT76-12D,2012-11-10
